Timestamp,Redemption Count,Sales Count
2024-09-24T22:45:00Z,7,3
2024-09-24T22:30:00Z,11,0
2024-09-24T22:15:00Z,2,1
2024-09-24T22:00:00Z,5,6
2024-09-24T21:45:00Z,2,3
2024-09-24T21:30:00Z,14,41
2024-09-24T21:15:00Z,3,1
2024-09-24T21:00:00Z,4,2
2024-09-24T20:45:00Z,0,2
2024-09-24T20:30:00Z,13,0
2024-09-24T20:15:00Z,5,4
2024-09-24T20:00:00Z,1,2
2024-09-24T19:45:00Z,8,8
2024-09-24T19:30:00Z,9,4
2024-09-24T19:15:00Z,6,5
2024-09-24T19:00:00Z,15,12
2024-09-24T18:45:00Z,9,8
2024-09-24T18:30:00Z,20,15
2024-09-24T18:15:00Z,18,20
2024-09-24T18:00:00Z,15,1
2024-09-24T17:45:00Z,8,6
2024-09-24T17:30:00Z,28,22
2024-09-24T17:15:00Z,17,22
2024-09-24T17:00:00Z,10,4
2024-09-24T16:45:00Z,10,18
2024-09-24T16:30:00Z,32,41
2024-09-24T16:15:00Z,16,21
2024-09-24T16:00:00Z,45,47
2024-09-24T15:45:00Z,20,21
2024-09-24T15:30:00Z,26,33
2024-09-24T15:15:00Z,12,7
2024-09-24T15:00:00Z,26,23
2024-09-24T14:45:00Z,25,38
2024-09-24T14:30:00Z,11,3
2024-09-24T14:15:00Z,26,16
2024-09-24T14:00:00Z,24,24
2024-09-24T13:45:00Z,24,25
2024-09-24T13:30:00Z,43,30
2024-09-24T13:15:00Z,19,14
2024-09-24T13:00:00Z,18,21
2024-09-24T12:45:00Z,10,20
2024-09-24T12:30:00Z,15,10
2024-09-24T12:15:00Z,24,18
2024-09-24T12:00:00Z,55,7
2024-09-24T11:45:00Z,18,11
2024-09-24T11:30:00Z,10,9
2024-09-24T11:15:00Z,18,18
2024-09-24T11:00:00Z,24,5
2024-09-24T10:45:00Z,3,1
2024-09-24T10:30:00Z,12,4
2024-09-24T10:15:00Z,143,136
2024-09-24T10:00:00Z,17,5
2024-09-24T09:45:00Z,36,12
2024-09-24T09:30:00Z,74,16
2024-09-24T09:15:00Z,11,6
2024-09-24T09:00:00Z,17,33
2024-09-24T08:45:00Z,5,5
2024-09-24T08:30:00Z,7,3
2024-09-24T08:15:00Z,18,5
2024-09-24T08:00:00Z,10,3
2024-09-24T07:45:00Z,11,10
2024-09-24T07:30:00Z,12,5
2024-09-24T07:15:00Z,6,5
